epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,3777.33,1.01876,0.83608,0.00569,0.64905,0.55855,0.56707,0.26259,1.89875,1.73014,0.01561,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,3862.72,0.9984,0.81124,0.00543,0.64675,0.56336,0.57613,0.27094,1.90524,1.7098,0.0158,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,3948.69,1.02007,0.81505,0.00562,0.66528,0.54233,0.56024,0.26728,1.90447,1.64845,0.01605,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,4033.89,1.00966,0.80149,0.00548,0.67589,0.57161,0.58898,0.28639,1.86799,1.63257,0.01553,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,4119.55,1.00152,0.7922,0.00556,0.66444,0.56526,0.5761,0.27633,1.89485,1.70269,0.01555,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,4204.85,0.98668,0.79068,0.00548,0.63165,0.58553,0.58066,0.27887,1.82433,1.66096,0.01501,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,4290.18,0.99656,0.79387,0.0055,0.66999,0.59173,0.59029,0.28003,1.85935,1.63875,0.01525,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,4375.59,0.99473,0.78464,0.00546,0.65608,0.58512,0.58558,0.27837,1.84694,1.6306,0.01543,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,4461.01,0.99892,0.77819,0.0054,0.65106,0.58573,0.59003,0.28261,1.84423,1.58084,0.01542,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,4546.11,1.00112,0.77716,0.00546,0.6833,0.5905,0.6086,0.29769,1.87975,1.54327,0.01567,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,4631.33,0.99171,0.77405,0.00541,0.64477,0.58938,0.5945,0.2927,1.84301,1.56892,0.01519,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
