epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,1612.58,1.58325,1.10803,0.00942,0.79857,0.64328,0.72507,0.42538,1.54262,0.97435,0.01271,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,1645.9,1.56353,1.06601,0.00945,0.80419,0.64262,0.73141,0.42662,1.56245,0.93504,0.01331,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,1678.91,1.5582,1.06776,0.00952,0.80193,0.66197,0.73409,0.41805,1.5868,0.9745,0.0134,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,1711.68,1.57659,1.07223,0.00943,0.78965,0.63785,0.7319,0.41688,1.5717,0.96324,0.0128,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,1744.33,1.58524,1.06061,0.00934,0.79215,0.63593,0.72396,0.42372,1.55585,1.00929,0.01312,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,1777.12,1.58003,1.07032,0.00946,0.79159,0.64657,0.7356,0.43199,1.52476,0.94631,0.0123,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,1809.6,1.5165,1.05239,0.00927,0.76529,0.66926,0.73416,0.43157,1.56046,0.94755,0.0129,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,1842.15,1.53659,1.04961,0.00928,0.76058,0.65889,0.73427,0.43307,1.53137,0.94843,0.01236,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,1874.69,1.56077,1.04292,0.00885,0.80737,0.66012,0.73977,0.43885,1.5309,0.98978,0.01286,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,1908.34,1.53737,1.02686,0.0092,0.77597,0.66128,0.74026,0.4363,1.54572,0.93931,0.01293,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,1941.24,1.56949,1.05626,0.00911,0.7878,0.65537,0.73094,0.43307,1.53991,0.95956,0.0128,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,1973.78,1.52555,1.02051,0.00897,0.81004,0.68281,0.76099,0.45089,1.52836,0.89912,0.01274,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,2006.31,1.55905,1.00456,0.00882,0.79267,0.67181,0.74043,0.44343,1.50437,0.93627,0.0123,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,2038.98,1.51727,0.97809,0.00887,0.77608,0.6982,0.76772,0.46235,1.48454,0.85571,0.01219,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,2071.89,1.54523,0.98731,0.00884,0.78026,0.67445,0.75006,0.44706,1.52013,0.93368,0.01287,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,2104.54,1.5122,0.98198,0.00896,0.78195,0.69215,0.76409,0.44655,1.49743,0.88963,0.0122,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,2137.1,1.49726,0.97818,0.00862,0.79251,0.67897,0.76305,0.45664,1.48269,0.86039,0.01204,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,2169.88,1.51503,0.96212,0.00877,0.78884,0.68411,0.75516,0.45254,1.49088,0.89377,0.01232,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,2202.32,1.50374,0.97136,0.00881,0.80738,0.67699,0.75801,0.45523,1.50249,0.88578,0.01234,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,2234.77,1.50406,0.97687,0.00883,0.79851,0.65877,0.74413,0.45098,1.50074,0.9051,0.01194,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,2267.41,1.49892,0.96559,0.00842,0.80361,0.68644,0.76201,0.45618,1.4928,0.87037,0.01222,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,2300.01,1.46008,0.92917,0.00842,0.7987,0.68819,0.76007,0.46661,1.45104,0.86989,0.01151,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,2332.46,1.50512,0.94525,0.00859,0.79392,0.68329,0.76945,0.46473,1.46764,0.85301,0.01171,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,2364.97,1.47923,0.94541,0.00837,0.83052,0.69478,0.78625,0.47754,1.44711,0.8182,0.01145,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,2397.54,1.47899,0.91748,0.00812,0.81254,0.69432,0.77843,0.47173,1.47378,0.81453,0.01211,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,2430.5,1.46378,0.91156,0.00832,0.81161,0.70765,0.77654,0.46983,1.45567,0.85788,0.01189,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,2463.33,1.49341,0.93288,0.00838,0.82758,0.70157,0.78417,0.46555,1.47759,0.84611,0.01188,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,2495.83,1.45083,0.90054,0.0083,0.81287,0.69781,0.7796,0.476,1.44914,0.83939,0.01169,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,2528.12,1.47881,0.88194,0.00834,0.80254,0.71179,0.78574,0.48221,1.42267,0.81225,0.0114,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,2560.55,1.47615,0.89475,0.00819,0.82257,0.6921,0.77606,0.48171,1.4326,0.82025,0.01143,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,2593.03,1.45308,0.89423,0.00812,0.80153,0.70546,0.78019,0.48055,1.40966,0.83018,0.01134,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,2625.62,1.41665,0.88021,0.0082,0.82966,0.70761,0.79208,0.49073,1.43436,0.79634,0.01164,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,2658.07,1.46663,0.89384,0.00817,0.82655,0.70036,0.78737,0.48156,1.43413,0.84213,0.01154,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,2690.36,1.43759,0.89505,0.00842,0.81583,0.71359,0.7926,0.48838,1.42345,0.80119,0.01156,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,2722.63,1.43918,0.88381,0.00826,0.82648,0.69416,0.77953,0.48477,1.41684,0.85161,0.01121,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,2755.52,1.43085,0.87008,0.00817,0.82001,0.69824,0.78487,0.48821,1.39015,0.84657,0.01076,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,2789.09,1.44472,0.89825,0.00789,0.84105,0.69815,0.78652,0.4857,1.42288,0.85579,0.01162,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,2821.69,1.4501,0.88361,0.00803,0.8468,0.70781,0.79253,0.49367,1.41928,0.79139,0.01143,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,2855.1,1.42832,0.85953,0.00803,0.8245,0.70221,0.78729,0.49471,1.39627,0.83287,0.01122,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,2887.91,1.43947,0.85899,0.00782,0.79172,0.70601,0.77888,0.48204,1.41289,0.81983,0.0112,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,2920.51,1.4198,0.86368,0.00818,0.80767,0.70686,0.79113,0.49191,1.37957,0.80249,0.01078,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,2953.22,1.45883,0.87957,0.00797,0.78863,0.70095,0.77121,0.47688,1.41651,0.8325,0.01104,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,2985.82,1.4416,0.87402,0.00805,0.79442,0.70345,0.77925,0.48938,1.41097,0.81127,0.01139,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,3018.53,1.41906,0.86739,0.0081,0.81758,0.69531,0.79312,0.49693,1.40047,0.76893,0.01073,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,3051.23,1.41719,0.8484,0.00798,0.82664,0.72143,0.79876,0.49568,1.39247,0.81218,0.01114,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,3083.8,1.41955,0.84439,0.00802,0.83094,0.70823,0.79421,0.49194,1.39588,0.80909,0.01062,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,3116.68,1.41323,0.84765,0.00784,0.808,0.71416,0.78632,0.49427,1.3732,0.83755,0.01037,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,3149.71,1.38931,0.82116,0.00768,0.82421,0.70256,0.79762,0.50501,1.36636,0.78877,0.01057,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,3182.33,1.38712,0.82492,0.00798,0.83705,0.71965,0.80106,0.5089,1.34842,0.78808,0.01047,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,3214.9,1.39865,0.85534,0.00768,0.83901,0.69575,0.79625,0.50296,1.37126,0.77053,0.01057,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
