epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,1762.04,1.21093,0.6781,0.0063,0.85671,0.73421,0.81804,0.53474,1.28441,0.745,0.00955,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,1795.13,1.22754,0.68298,0.0063,0.8442,0.75304,0.82552,0.54087,1.29341,0.71772,0.01004,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,1828.13,1.23772,0.68574,0.00647,0.83903,0.73088,0.82295,0.5391,1.28207,0.73593,0.00976,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,1861.4,1.19102,0.67456,0.00648,0.85239,0.75477,0.82955,0.53664,1.32596,0.73037,0.01012,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,1894.63,1.2077,0.65871,0.00643,0.84593,0.7427,0.82526,0.54083,1.29953,0.72645,0.0096,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,1928.2,1.22477,0.67159,0.0061,0.86047,0.74466,0.83552,0.55606,1.26396,0.7183,0.00944,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,1961.41,1.2029,0.66327,0.00628,0.82019,0.7385,0.80484,0.53592,1.29004,0.78394,0.0099,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,1994.98,1.24141,0.68589,0.00636,0.84061,0.75944,0.84077,0.54717,1.30224,0.67537,0.01009,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,2028.12,1.21317,0.66944,0.00632,0.84277,0.75002,0.82029,0.5413,1.27451,0.73864,0.00969,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,2061.45,1.23201,0.66259,0.00606,0.84415,0.73597,0.81801,0.53929,1.2983,0.7273,0.00981,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,2095.17,1.18475,0.63115,0.00608,0.84581,0.74086,0.82566,0.55013,1.27129,0.72418,0.00975,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,2128.78,1.22174,0.6562,0.00611,0.86661,0.74892,0.83199,0.55298,1.25467,0.72699,0.00965,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,2162.09,1.2071,0.6474,0.00642,0.85867,0.75833,0.83969,0.54643,1.28755,0.69601,0.00975,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,2195.36,1.20772,0.64451,0.00625,0.84522,0.76,0.84157,0.55248,1.28209,0.6609,0.00996,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,2228.48,1.19358,0.63251,0.00612,0.85525,0.76043,0.83908,0.55444,1.26147,0.68045,0.00976,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,2261.65,1.19904,0.64805,0.00623,0.83745,0.75899,0.82525,0.54839,1.26939,0.71713,0.00955,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,2295.18,1.20862,0.66176,0.00638,0.86604,0.76557,0.84402,0.55594,1.28053,0.66465,0.00968,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,2328.53,1.19101,0.6461,0.00595,0.85158,0.74813,0.83206,0.55827,1.23627,0.70367,0.00912,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,2361.62,1.17246,0.6365,0.00597,0.86015,0.73953,0.82576,0.54179,1.2881,0.71187,0.0094,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,2394.89,1.20842,0.6515,0.0061,0.83258,0.76951,0.83105,0.55071,1.26467,0.73132,0.0094,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,2427.8,1.19044,0.65814,0.00606,0.8567,0.76342,0.83871,0.55325,1.26462,0.69114,0.00958,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,2461.05,1.19835,0.62596,0.0058,0.85599,0.75361,0.83854,0.55702,1.26234,0.68878,0.00944,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,2494.73,1.18489,0.62554,0.00598,0.86862,0.75796,0.84119,0.55824,1.23771,0.65561,0.00903,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,2527.96,1.20872,0.65832,0.00603,0.84289,0.76926,0.83895,0.56013,1.25534,0.69089,0.00937,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
73,2561.31,1.16549,0.6239,0.00599,0.84434,0.772,0.83411,0.55501,1.26625,0.67687,0.00941,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
74,2594.42,1.18812,0.63732,0.00601,0.84847,0.77511,0.84815,0.56557,1.21662,0.6568,0.00895,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546,0.0256638,0.0085546
75,2627.76,1.19835,0.63294,0.00594,0.85842,0.77021,0.84552,0.56389,1.2397,0.66584,0.00923,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
76,2660.87,1.17897,0.62103,0.00589,0.85498,0.76693,0.8495,0.5643,1.23515,0.65898,0.0091,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,2693.94,1.15692,0.61859,0.00602,0.84694,0.76793,0.83815,0.55967,1.23518,0.70074,0.00903,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,2727.35,1.19824,0.63245,0.00599,0.86316,0.76715,0.83994,0.55572,1.24204,0.67181,0.00917,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,2760.73,1.17938,0.63959,0.00616,0.85914,0.77027,0.84573,0.56184,1.22719,0.67698,0.00915,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,2793.72,1.16149,0.62753,0.00598,0.85498,0.76227,0.84652,0.5595,1.23884,0.67805,0.00905,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,2826.92,1.16529,0.5934,0.00597,0.87175,0.77974,0.85298,0.56303,1.25277,0.64818,0.00918,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,2860.22,1.17572,0.6317,0.00576,0.85592,0.79171,0.86137,0.57363,1.22423,0.64941,0.00891,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,2893.57,1.18937,0.62934,0.00591,0.83214,0.7881,0.84447,0.56473,1.24203,0.64561,0.00898,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,2926.64,1.16259,0.62886,0.00596,0.88,0.75368,0.85146,0.56858,1.21474,0.65577,0.00893,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,2959.85,1.18564,0.63631,0.00588,0.86124,0.75179,0.83934,0.559,1.25124,0.66899,0.00914,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,2993,1.15778,0.62701,0.00598,0.91611,0.74434,0.85878,0.57981,1.21406,0.65528,0.00875,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,3026.36,1.21068,0.6449,0.00592,0.85798,0.78319,0.85404,0.56873,1.21793,0.65077,0.00861,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,3059.29,1.17748,0.63346,0.00585,0.8538,0.74772,0.83977,0.56278,1.23489,0.68076,0.00911,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
